Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.51  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Off,Off
TempUnit,C
Sampling interval,500ms
Total data points,2909      
Trigger,0         
Start time,2021-03-24,16:15:42
End time,2021-03-24,16:39:56
Trigger time,2021-03-24,16:15:42
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,5,6,0
CH2," CH 2","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],9,22,8,0
CH4," CH 4","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],21,0,21,0
CH5," CH 5","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,16,2,0
CH6," CH 6","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],5,23,30,0
CH7," CH 7","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],30,23,1,0
CH8," CH 8","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,0,17,0
CH9," CH 9","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],17,11,7,0
CH10," CH10","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],19,27,0,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1-10,AlarmOut
        48,2021/03/24 16:16:05,500,+  16.8,+  16.1,+  16.4,+  17.3,+  26.0,+  52.8,+  46.1,+  60.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        49,2021/03/24 16:16:06,  0,+  16.9,+  16.1,+  16.5,+  17.1,+  26.0,+  53.1,+  46.4,+  60.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        50,2021/03/24 16:16:06,500,+  16.9,+  16.1,+  16.6,+  17.5,+  26.2,+  53.3,+  46.4,+  60.7,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        51,2021/03/24 16:16:07,  0,+  16.9,+  16.1,+  16.5,+  17.1,+  26.2,+  53.4,+  46.8,+  61.0,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        52,2021/03/24 16:16:07,500,+  16.9,+  16.1,+  16.4,+  17.1,+  26.2,+  53.6,+  46.6,+  61.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        53,2021/03/24 16:16:08,  0,+  16.9,+  16.1,+  16.5,+  17.2,+  26.2,+  53.7,+  46.9,+  61.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        54,2021/03/24 16:16:08,500,+  16.9,+  16.4,+  16.4,+  17.2,+  26.3,+  53.9,+  47.1,+  61.8,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        55,2021/03/24 16:16:09,  0,+  16.9,+  16.1,+  16.5,+  17.2,+  26.3,+  54.0,+  47.1,+  62.0,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        56,2021/03/24 16:16:09,500,+  17.1,+  16.3,+  16.4,+  17.2,+  26.3,+  54.2,+  47.5,+  62.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        57,2021/03/24 16:16:10,  0,+  17.2,+  16.2,+  16.5,+  17.2,+  26.5,+  54.2,+  47.5,+  62.7,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        58,2021/03/24 16:16:10,500,+  17.1,+  16.1,+  16.6,+  17.3,+  26.5,+  54.2,+  47.7,+  62.9,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        59,2021/03/24 16:16:11,  0,+  17.1,+  16.1,+  16.6,+  17.2,+  26.7,+  54.5,+  47.7,+  63.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        60,2021/03/24 16:16:11,500,+  17.1,+  16.1,+  16.4,+  17.1,+  26.6,+  54.5,+  47.8,+  63.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
